dep,longueur,Nb_Acc,Ratio
01,984.1572135447558,55,0.05588538014358496
02,521.6776553535553,31,0.059423668393445844
03,334.4563617857808,32,0.09567765381749858
04,388.20314104922267,25,0.06439927284573438
05,481.11164338684523,63,0.13094673734458737
06,3473.9822544702756,108,0.031088241703315263
07,487.0363459738834,48,0.09855527292119987
08,504.04036509850664,17,0.03372745751558533
09,206.40461300629283,27,0.13081102988321694
10,412.84290697526114,126,0.30520083516307167
11,1675.332862169401,65,0.03879826001612063
12,434.8881286777319,33,0.07588158384625443
13,10836.089310809439,223,0.020579380033122138
14,4395.7522935302995,141,0.03207642073178801
15,141.316207389862,34,0.24059519164847862
16,289.37699070156384,32,0.1105823926167018
17,3791.7210530182588,244,0.06435072532716321
18,280.318424536928,38,0.13556012260975744
19,103.93160606328681,29,0.2790296532350429
21,661.3593691482014,40,0.06048148989182394
22,2604.0291934094603,119,0.04569841240688745
23,79.49459129788752,1,0.01257947218387138
24,891.1603844348272,37,0.041518901250828556
25,902.4899931392026,78,0.08642755110080103
26,814.9915025180621,90,0.11043059924174534
27,685.1451668667852,100,0.14595447043333415
28,350.00577383238726,48,0.13714059478054927
29,2218.702974236935,210,0.0946498934009966
2A,221.68501395362594,17,0.07668538209604106
2B,276.45728324728515,25,0.09042988380102843
30,1575.5199020113348,58,0.03681324490154408
31,21724.442982926947,249,0.011461743815281568
32,163.78155463250664,46,0.28086190843172104
33,12313.820856949436,447,0.0363006742742835
34,4224.825777257717,149,0.035267726494680234
35,6292.398083123011,320,0.05085501517430684
36,242.80766266920756,31,0.12767307118405602
37,2474.435790820619,230,0.09295048222840452
38,2940.7400041574497,234,0.07957180834388086
39,599.9256349464315,33,0.055006817641567576
40,1378.385930600465,49,0.03554882483358937
41,504.3094342490039,42,0.08328220165570491
42,2818.249256585768,105,0.037257172961061874
43,139.62510039077532,20,0.14324072064424706
44,9155.062293440278,218,0.023811962498190738
45,2194.509122907217,191,0.0870354094253977
46,119.59738820064575,24,0.20067327858143322
47,256.15591100916873,39,0.15225102495723417
48,616.0525026069666,14,0.022725335812703962
49,18443.311614092414,362,0.0196277115289533
50,5520.108531853683,105,0.019021365140576396
51,1054.3091574408177,155,0.14701570114048898
52,585.7096679749272,30,0.051219916010135286
53,940.9398848759677,43,0.04569898746046688
54,1080.7187525176848,174,0.16100396110888496
55,165.0966552564249,26,0.15748350540244022
56,1695.3967418411332,249,0.14686827799939967
57,3061.776258342493,69,0.022535938023555475
58,326.0286666579053,35,0.10735252319614191
59,23568.835574129822,251,0.010649656374008927
60,685.2697193104706,94,0.13717226568041604
61,5627.127939595111,47,0.0083523958410979
62,1503.9261063383117,123,0.08178593315297558
63,798.1971704495865,133,0.16662549671165514
64,573.9852777805778,303,0.5278881039799602
65,231.8617103675962,94,0.405414071391828
66,1146.3262692630074,82,0.07153286302399682
67,5497.546766590471,429,0.07803480683549727
68,3658.5696450827227,164,0.04482626160210539
69,2284.91030131588,712,0.3116096065521518
70,411.41823245704137,44,0.10694713196648208
71,1920.9022130520511,100,0.05205887073299461
72,1266.8975589339043,103,0.08130096965904221
73,1381.1837072426526,88,0.0637134651520616
74,5590.93371001302,170,0.030406370173114452
75,1353.9129561328496,3113,2.2992615484614243
76,3845.034044965409,141,0.036670676605483336
77,1519.4521466938684,123,0.08095022950714974
78,2661.42524723083,106,0.03982828377775829
79,5994.700119792654,42,0.0070061886601014344
80,1291.2360277183936,112,0.08673859588467596
81,388.8283877042145,45,0.1157322907046384
82,231.1781494002685,29,0.12544438163915123
83,6774.1665240907505,163,0.02406200075246576
84,1171.460962477832,78,0.06658352475955939
85,2178.2854188755828,99,0.04544858958432691
86,751.8259033828305,60,0.0798057099789071
87,1912.7683932819432,100,0.05228024488025924
88,618.5453589072714,45,0.07275133399997934
89,646.7244855599648,35,0.05411887253610838
90,196.8662485467887,19,0.09651222665262663
91,1454.1257225848926,179,0.1230980218696667
92,1314.6240234269544,640,0.48683120694208193
93,769.1846212856052,348,0.45242714215783114
94,959.4155869778054,495,0.5159390849165462
95,1507.684236790519,80,0.053061508535965
