,Num_Acc,catr,vosp,vma,jour,an,hrmn,lum,dep,com,int,atm,grav,sexe,an_nais,trajet,secu1,secu2,secu3
0,202100000001,3,0,80,30,2021,07:32,2,30,30319,1,1,3,1,2000.0,1,0,9,-1
1,202100000006,4,0,50,23,2021,11:10,1,68,68004,3,1,4,1,2009.0,2,0,-1,-1
2,202100000038,4,0,50,2,2021,11:00,1,71,71540,1,1,3,1,2001.0,5,-1,-1,-1
3,202100000051,4,0,50,9,2021,23:30,5,31,31555,9,1,1,-1,1992.0,-1,-1,-1,-1
4,202100000070,4,-1,-1,4,2021,17:31,1,60,60057,1,1,4,1,2005.0,-1,0,-1,-1
5,202100000071,4,0,30,14,2021,17:10,1,60,60057,1,1,3,1,2007.0,0,0,-1,-1
6,202100000101,4,1,-1,21,2021,16:00,1,90,90071,1,7,2,1,1938.0,5,2,-1,-1
7,202100000107,4,0,-1,1,2021,16:24,2,84,84080,4,1,1,1,1963.0,1,8,-1,-1
8,202100000108,4,0,30,6,2021,22:25,5,987,98736,3,1,2,2,2007.0,5,8,0,-1
9,202100000136,4,1,5,25,2021,15:55,1,31,31555,1,1,1,1,1968.0,4,1,0,-1
10,202100000162,4,2,50,12,2021,12:07,1,91,91471,1,1,4,1,1962.0,1,2,0,-1
11,202100000175,3,0,80,30,2021,08:30,1,11,11294,1,1,2,1,1954.0,5,2,-1,-1
12,202100000179,4,3,50,9,2021,16:45,1,33,33063,6,1,4,2,1989.0,9,0,-1,-1
13,202100000180,4,0,50,21,2021,08:15,2,33,33069,1,1,4,2,1968.0,1,2,-1,-1
14,202100000181,3,-1,30,29,2021,18:00,2,73,73241,3,7,3,2,1952.0,5,0,-1,-1
15,202100000195,3,0,50,20,2021,07:01,2,74,74229,8,1,1,1,1983.0,4,8,-1,-1
16,202100000201,4,0,30,30,2021,09:45,1,61,61001,6,2,1,2,1974.0,4,8,8,-1
17,202100000203,3,0,80,18,2021,15:37,1,88,88213,1,1,3,2,1944.0,5,2,-1,-1
18,202100000217,4,-1,90,14,2021,19:30,1,61,61159,1,1,3,2,1970.0,5,2,-1,-1
19,202100000218,3,-1,50,24,2021,16:20,1,61,61001,6,2,1,2,1954.0,5,1,-1,-1
20,202100000226,4,2,50,4,2021,11:30,1,73,73065,3,8,1,1,1967.0,1,8,-1,-1
21,202100000228,4,0,50,17,2021,17:01,2,36,36044,2,1,1,1,1994.0,9,1,8,-1
22,202100000249,2,0,90,14,2021,12:21,1,78,78172,1,2,4,1,1940.0,5,8,0,-1
