,population,code_commune,lat,long,area,accident_num,length,ACCOTEMENT REVETU HORS CVCB,AMENAGEMENT MIXTES PIETON VELO HORS VOIE VERTE,AUTRE,BANDE CYCLABLE,CHAUSSEE A VOIE CENTRALE BANALISEE,COULOIR BUS+VELO,DOUBLE SENS CYCLABLE BANDE,DOUBLE SENS CYCLABLE NON MATERIALISE,DOUBLE SENS CYCLABLE PISTE,GOULOTTE,PISTE CYCLABLE,VELO RUE,VOIE VERTE
0,234,81233,640710,6301569,1355,0.0,1625.607995412944,0.0,1625.607995412944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,375,48027,758680,6379410,1654,0.0,41750.30716917726,0.0,0.0,41750.30716917726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1242,81101,633499,6323381,2334,0.0,20727.04626020773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19289.72123139636,1437.325028811373,0.0
3,1318,09032,603578,6177380,3016,0.0,70.52028500504724,0.0,0.0,70.52028500504724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,319,32163,458676,6280058,1022,0.0,4816.411347658314,0.0,4816.411347658314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,641,46083,583401,6436957,2303,0.0,43.7855869480676,0.0,43.7855869480676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,544,48043,754945,6395133,2454,0.0,2700.0525054199634,0.0,0.0,2700.0525054199634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2143,48034,720476,6368918,10469,0.0,1907.1278243293252,0.0,1736.317653013306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.81017131601936
8,1955,30302,831783,6329910,2671,0.0,3564.9680886887336,0.0,3424.6884991725256,140.279589516208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,440,34335,709847,6280336,797,0.0,1808.3848165925667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808.3848165925667
10,755,48127,739003,6391397,6213,0.0,299.5095330475045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.5095330475045
11,1040,34282,754497,6280070,1284,0.0,229.4038485779245,0.0,229.4038485779245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,194,48193,741846,6351755,6989,0.0,31197.69346498032,0.0,0.0,31197.69346498032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,3151,34037,721678,6253726,703,0.0,2111.11812218809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2111.11812218809,0.0,0.0
14,11261,30341,805127,6282885,11052,0.0,33852.14581863375,0.0,2284.4501504799146,0.0,11599.878767121289,0.0,0.0,0.0,0.0,0.0,0.0,19967.816901032544,0.0,0.0
15,120,81243,604654,6326494,940,0.0,507.01924586141615,0.0,0.0,507.01924586141615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,3343,30276,801083,6277036,8968,0.0,25040.848652291337,0.0,0.0,0.0,15224.706590663682,0.0,0.0,0.0,0.0,0.0,0.0,9816.142061627655,0.0,0.0
17,1258,46201,558406,6360017,3227,0.0,150.53513426232502,0.0,0.0,150.53513426232502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,134,34158,677004,6251897,2765,0.0,5436.034510351135,0.0,0.0,5436.034510351135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,329,12242,623815,6366993,900,0.0,1662.3156454972486,0.0,1662.3156454972486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,3051,30037,788467,6355341,1024,0.0,2939.870630950538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1851.413261084326,0.0,1088.4573698662116
21,649,82093,546613,6316825,1508,0.0,1543.9984839847014,0.0,1543.9984839847014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1059,82052,555252,6322754,1802,0.0,5734.131197713113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5574.813816432647,0.0,159.31738128046578
23,501,31316,509315,6202576,1296,0.0,4.482240899851894,0.0,0.0,0.0,4.482240899851894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1243,32233,469454,6273493,2090,0.0,4776.658526491104,0.0,1280.107702933225,868.2006264109797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2628.3501971468995
25,728,81117,621314,6300883,2219,0.0,52.82191824831609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.82191824831609,0.0,0.0
26,2511,46225,555418,6381041,2422,1.0,6338.392455559192,0.0,6338.392455559192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,112,48117,770977,6369564,3211,0.0,3428.6301228013026,0.0,0.0,3428.6301228013026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,72,66154,626443,6174174,1917,0.0,1711.8911930212698,0.0,175.971389234589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1535.9198037866809,0.0,0.0
29,1013,12258,636838,6348241,5462,0.0,1208.4704182502626,0.0,1208.4704182502626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,3751,34146,787309,6287697,1213,0.0,6657.926382064713,0.0,430.76144141226,0.0,2201.446248454132,0.0,0.0,328.2907119160459,814.902244306654,0.0,0.0,2843.2346322259355,0.0,39.29110374968625
31,13646,30258,813706,6287159,15220,0.0,14471.587129187476,0.0,8783.767720958627,3951.738202561071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.2892934524812,0.0,504.79191221529607
32,1035,12101,641296,6388807,1298,0.0,786.2860817253854,0.0,586.4576921019603,0.0,199.8283896234252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,764,12209,675034,6399661,4133,0.0,232.63442537593727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.63442537593727
34,324,48144,759847,6342683,1875,0.0,4314.462825075872,0.0,0.0,4314.462825075872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
